Абонент	Телефон	Номер_дома	Счет
ДОМ_ПРЕСТАРЕЛЫХ_(2_ЭТАЖ)	3083434	277	61,97
СЕВ._ГОР._ТЕРРИТОР._ОТДЕЛ_АНТИМОНОПОЛЬНО_ГО_КОМИТЕТА_УКРАИНЫ	26115246	11	53,75
ТВОРЧЕСКАЯ_МАСТЕРСКАЯ_АРХ.БРАУДЕ_Ю.И.	38013581	50	-0,07
ПСК_361	51169660	8	86,83
ОБЩИЙ_К.121	10538528	99	20,48
РЕАЛИЗАЦИИ_ОТД_МТС	57138382	42	88,17
ОВИР	72050421	26	66,76
"ЧМП_""ЕЛАЗА"""	25846387	58	96,9
МЕДСКЛАД_АВТОБАТ_КРЕПОСТН.Ш	32144317	96	13
"ООО_""ТОРГОВЫЙ_МИР"""	49974353	44	58,82
СТРОИТ_ЦЕХ	91868142	20	69,74
КОМПЬЮТЕРНЫЙ_ЦЕНТР	47880721	3	83,59
К.225	96179041	52	60,95
ПОСЛЕДУЮЩИЙ_КОНТРОЛЬ	38043473	11	71,9
ЗАМ_ПРЕДСЕДАТЕЛЯ_РАЙСОВЕТА	62298525	10	80,43
КВ.СЕРГЕЕВА_СЛУЖ	56848608	13	84,96
ГИНЕКОЛОГИЧЕСКОЕ_ОТДЕЛЕНИЕ	3244996	30	46,47
ПОМЕЩЕНИЕ	88605544	5	41,23
"ОФИС_ООО_""ЭЛЕКОМП_ТВ-ЮГ"""	12672122	2	87,14
ЗЕМЕЛЬНЫХ_РЕСУРСОВ_ОТД	74103113	54	90,02
ЗАМ_ЗАВЕДУЮЩЕГО_НАЧ_ИНСПЕКЦИИ	65858027	26	90,01
АГРОХИМЛАБОРАТОРИЯ	17603720	11	73,34
ВОЕННЫЙ_КОМИССАР	16338619	17	11,88
КРР_АТС-52	87656705	19	12,05
ПОМЕЩЕНИЕ_КАСС_АВТОВОКЗАЛА	97426268	32	55,61
"ОАО_СЕВ._ЗАВОД_КОММУНАЛЬНОГО_ОБОРУДОВАНИ_Я_""МОЛОТ"""	51685718	8	34,86
ЗАМ.ДИР.ПО_ПРАКТ_ОБУЧЕНИЮ	54840089	12	85,59
ДЕЖУРНЫЙ_СТАРШИЙ_ОПЕРАТИВНЫЙ	64272711	28	37,58
"СЕВАСТОПОЛЬСКИЙ_ФИЛИАЛ_СИМФЕРОП.УПО_УКРАИНСКОГО_ОБЩ.СЛЕПЫХ_""УТОС"""	45642730	7	35,81
"СКЛАД_ООО_""МАГУС_ЛТД"""	16411795	83	30,83
ДМО	77905778	11	1,66
СЕКТОР_ПО_РАБОТЕ_С_НАЛОГОПЛАТЕЛЬЩИКАМИ	43351247	116	7,98
ДЕТСКИЙ_САД_125	7387521	40	73,61
ЗАВ_ДЕЗ_ОТДЕЛОМ	36262916	46	86,52
"АВТОМАГАЗИН_""ЛОТ""_ЧП_""ФИРМЫ_""НОВИЦА"""	28711320	2	33,71
УЧАСТОК_МЕХАНИЗАЦИИ	58475057	21	36,41
УРОЛОГИЧ_ОТД_СЕСТР_ХОЗ_ПОСТ	28833683	52	55,53
ИНСПЕКТОР_ПО_НАЗНАЧЕНИЮ	27156631	42	87,75
РАЗВОРОТ_ТРОЛЛЕЙБУСА	50894455	38	88,61
ГЛ.ИНЖЕНЕР	97502672	96	17,94
"УЧАСТОК_4_ОАО_""ОЗЕЛЕНИТЕЛЬ"""	53948017	4	93,07
ПРЕДПРИНИМАТЕЛЬ_АДВОКАТ_МИТЬКО_В.В.	30783033	11	39,84
ЧП_КОЛМОГОРОВА	76209982	23	47,59
"МАГАЗИН_""СВЯЗИСТ""_УГППС_""СЕВАСТОПОЛЬПОЧТА"""	76205263	53	19,71
УК_ШЕВЧЕНКО_54-А	46942685	41	59,65
ТП_17_РАДИОУЗЕЛ	83022529	19	82,99
ГОРКОМ_ПРОФСОЮЗА_РАБОТНИКОВ_ГОСТОРГОВЛИ_И_ПОТРЕБКООПЕРАЦИИ	16903489	18	33,45
УЧАСТОК_ПЕРВОМАЙСКИЙ	95305217	29	76,1
"ОФИС_ЧП_""ФИРМА_""ВОЛТА"""	25266513	11	6,43
"ГОСТИНИЦА_""ПРИМОРСКАЯ""_ТАКСОФОН"	48611255	6	65,19
ЗВОЗДЯНОВ_В.М.	52577021	22	21,06
"ОФИС_ООО_НТП_""ИНТЕР-СЕТЬ"""	77291660	4	84,38
СПЕЦ_ПО_ВЫПЛАТЕ_СУБСИДИЙ	25671393	71	81,7
НАЧАЛЬНИК_СМТС	76337096	1	66,78
ЖДУ_ДЕПО_ОБЩИЙ	59898995	32	16,17
ЭНЕРГОСЛ_И_ГО_ТБ_БЕЗОП_ДВИЖЕН	62473827	429	34,61
СД_УГПЭС_РАСЧЕТНАЯ_БУХГАЛТЕРИЯ_ПО_З/П	92184126	343	58,56
МАШЗАЛ	67818504	108	99,77
"СЕВАСТОПОЛЬСКИЙ_ФИЛИАЛ_ОАО_УСК_""ГАРАНТ-АВТО"""	5734885	49	43,86
ОПООП_N_13_ГАГАРИНСКОГО_РО_УМВД_УКРАИНЫ_В_Г.СЕВАСТОПОЛЕ	14225295	384	40,78
"МАГАЗИН_441_ОАО_""КАЧА""_(МАГ_ПРОД)"	67784575	3	69,97
НАХИМОВА_15_ППО_ОБЩИЙ	93117250	1	56,15
"О.О.О._КОММЕРЧЕСКАЯ_ФИРМА_""АНИТ""_МАГАЗИН_22"	19502036	170	38,34
ИНСТРУМЕНТАЛЬНАЯ	2656187	35	79,36
ОТДЕЛ_НАРОДНОГО_ОБРАЗОВАНИЯ_НАХИМ._РАЙОНА	51694920	145	19,92
"ПЛЯЖ_""ОМЕГА"""	98010679	6	10,95
"БАР_""РИФ"",_РЫНОК"	42495627	57	-0,04
К.355	79247306	517	10,98
КОМ_303	74361080	113	90,96
АДМИНИСТРАТИВНО-ХОЗЯЙСТВЕННЫЙ_ОТДЕЛ	84011457	8	9,38
"ЧАСТНОЕ_ПРЕДПРИЯТИЕ_""КАРПОВ_И_МАСТЕРА"""	81209774	105	96,01
КОРПУС_Б_N_404	50758833	66	25,24
НАЧ._ГРАЖД._СТРОИТЕЛЬСТВА	80945508	113	6,61
"КРЫМСКОЕ_АО_ПО_ТУРИЗМУ_И_ЭКСКУРСИЯМ_""КРЫМТУР"""	94181409	16	64,91
СУДЬЯ_ПТИЦЫНА	42983195	44	6,66
"МАГАЗИН_265_АП_""ПРОГРЕСС"""	57531911	62	26,25
"ЗАО_""РИТМ"""	46161809	1	5,54
ОБЩ.ТОРГОВЛИ_№_1	14392640	9	54,06
КАРЬЕР_СТАТИСТ	2701174	7	39,54
ВЕТЕРИНАРНАЯ_СЛУЖБА_2_ЧАСТНАЯ_ПРЕДПРИНИМАТЕЛЬ_АКСЕНОВ	31641516	20	74,09
"ПКП_""РЕММАШ"""	61630738	9	63,96
ДИРЕКЦИЯ_УГПЭС	71205532	173	52,71
_МЕДКАБИНЕТ	38988420	13	72,07
"ДВОРЕЦ_КУЛЬТУРЫ_С/Х_""СЕВАСТОПО"	28294348	6	33,47
КАБЕЛЬНО-ЛИНЕЙНЫЙ_УЧ_МАСТЕР	19070234	27	42,07
ОБЩЕЖИТИЕ_УНР-264	38372344	22	40
ЗАМ_ПРЕДСЕДАТЕЛЯ_ПО_СОЦ_ВОПР	51053385	4	92,51
АТС-36	31302004	46	15,82
НАУЧНОЕ_ИЗДАТЕЛЬСТВО	80500332	117	31,12
2-ОЕ_КАРДИОЛ_ОТД_ПОСТ	66413695	19	36,28
ИНЖЕНЕР_ПО_СВЯЗИ	58326990	6	4,57
ПЛАТЕЖЕЙ_ОТД_ОБРАБОТКА_КОМ_ПЛ	37395080	1	91,03
НАЧАЛЬНИК_СТАНЦИИ	85195282	22	7,81
БОЛЬНИЦА_N3	35695951	55	61,18
ОТДЕЛ_МОЛОДЕЖНЫХ_ФУНКЦИЙ	57286750	47	80,25
ОЭС-129_КАБИНА_2	27792306	138	17,74
К.260	89500043	11	2,21
"УЧАСТОК_""ОЗЕЛЕНИТЕЛЬ""_ОАО"	42394722	114	74,5
ШКОЛА	87285159	11	12,14
НОМЕР_100	50695011	205	53,39
МЕХЦЕХ_МАСТЕРА	44698268	38	9,37
ОТДЕЛ_В_ТАМОЖНЕ_НАХИМОВА_5А	98112526	13	85,48
ДЕТСКО-ЮНОШЕСКАЯ_СПОРТИВНАЯ_ШКОЛА_3	87028727	2	18,78
ПРИХОДСКОЙ_СОВЕТ_ВСЕХСВЯТСКОЙ_ЦЕРКОВНОЙ_ОБЩИНЫ	50571292	67	51,31
СЕВАСТОПОЛЬСКИЙ_АВИАЦИОННО-СПОРТИВНЫЙ_КЛУБ_ДОСААФ-ОСОУ	49053581	13	2,96
РАСЧЕТ_С_НАСЕЛЕНИЕМ_БРИГАДИР	96460243	49	25,98
"МАГАЗИН_""ЧЕРНОМОРСКИЙ"""	13915365	7	39,77
ОПТИКА	51467568	8	9,77
ЗАМ_НАЧАЛЬНИКА_ПО_СТАТИСТИКЕ	31909060	58	10,31
ОТДЕЛ_ОБРАЗОВАНИЯ_БАЛАКЛАВСКОЙ_РАЙГОСАДМИНИСТРАЦИИ	92621258	15	92,2
КРЫМСКОЕ_ЗОНАЛЬНОЕ_АГЕНСТВО_ВОЗДУШНЫХ_СО_ОБЩЕНИЙ	94838232	25	91,43
СЛЕДОВАТЕЛИ_К.507	60618923	27	1,59
ВОХР_СТРЕЛОК	87625642	57	47,54
ОУС-2	40488165	3	54,1
ТОРГОВО-ЗАКУПОЧНАЯ_КОНТОРА	15978489	2	1,09
ОТД_ВНУТР_БЕЗОПАСНОСТИ_НАЧ	76007257	30	58,26
КВАНТ_АТСКЭ-494	49737197	12	49,76
"СОВМЕСТНОЕ_УКРАИНСКО-ГЕРМАНСКОЕ_ПРЕДПРИЯТИЕ_ФИРМА_""МЕТЭКС"""	2712439	21	38,73
"ООО_""СПЕЦТЕРМИНАЛСТРОЙ"""	15917368	96	98,39
ДЕЖУРНЫЙ_ПО_ТЕАТРУ	36554579	32	74,39
САНИТАРНО-КАРАНТИННЫЙ_ОТДЕЛ	95630329	1	75,65
ГИДРОБИОЛОГИИ_ОТД_ЗАВ	25659230	39	6,68
ОТДЕЛ_КАДРОВ_ХУТОР_ОТРАДНОЕ	71963933	33	34,2
"АП_ПРОИЗВОДСТВЕННО-ТЕХНОЛОГИЧЕСКОЙ_КОМПЛЕКТАЦИИ_""КРЫМСПЕЦСТРОЙ"""	75451711	74	30,63
АДМИНИСТРАТ.ЗДАНИЕ	34048308	19	82,92
ДЕТСКИЙ_САД_112	43351238	24	51,19
"ДП_""СЕВМОРДОРСТРОЙ""_ОАО_""СЕВМОРЗАВОД"""	95192185	11	32,2
КБ_РАДИОСВЯЗИ	50925879	128	70,21
ЭНЕРГОРАЙОН_ПУЛЬТ	76985446	75	88,09
ХОЗРАСЧЕТНЫЙ_ОТДЕЛ	58393788	9	20,73
П.БУРЯ	64800205	27	73,02
РЕМОНТНО-СТРОИТ_СЛУЖБА_НАЧ	93595616	42	79,02
СЕКТОР_РАСЧЕТОВ_ЗА_УСЛ.СВЯЗИ	54241762	4	65,47
"ПЛЯЖ_""ОМЕГА"",_ПАНСИОНАТ"	95486153	10	47,25
ДЕЖУРНЫЙ_ПО_КОМЕНДАТУРЕ	88453185	150	75,59
БАЛАКЛ_ДОФ_КОТЕЛЬНАЯ	29809977	46	95,91
ПОС._ОКТЯБРЬСКИЙ_КЛУБ	17824885	48	81,74
ЦЕНТР_ФЛОТ/ЛАБОРАТОРИЯ_ГСМ	54820159	9	73,97
ЦЕНТР_КОМПЬЮТ_ТЕХНОЛОГ_ЛАБОРАТ	51513151	37	84,91
Г.ПЕТРОВА,7(ОКОЛО_ПЕРЕГОВ.ПУКТ	28837832	11	70,3
"КОТЕЛЬНАЯ_4-Й_БОЛЬНИЦЫ_ГКП_""СЕВТЕПЛОЭНЕРГО"""	72339198	57	98,19
ДЕЖУРНЫЙ_ГС	71096089	9	57,56
К.116_СЕКТОР_ПРЕДПРИНИМАТЕЛЬСТ	84790806	2	54,02
"О.О.О.""ЭЛЕФАНТ"""	37987887	58	72,93
"ООО_ТОРГОВО-ПРОМЫШЛЕННАЯ_КОМПАНИЯ_""АНГЛИЯ"""	16854983	27	50,27
"ГОСУДАРСТВЕННОЕ_ПРЕДПРИЯТИЕ_СОВХОЗ-ЗАВОД_""КАЧИНСКИЙ"""	87527017	24	49,36
РЕДАКЦ-ИЗДАТ_ОТД_НАЧ_ТИПОГРАФИ	74265185	8	6,08
СЕВАСТОПОЛЬСКОЕ_УПРАВЛЕНИЕ_АВТОМОБИЛЬНЫХ_ДОРОГ	21962648	51	66,89
К.213_ГЛ.СПЕЦИАЛИСТ_ПО_КАДРАМ	11776049	9	46,22
ДЕТСКИЙ_САД_49_ОТДЕЛ_ОБРАЗОВАНИЯ_НАХИМОВСКОЙ_РАЙГОСАДМИНИСТРАЦИИ	89514077	153	61,79
ТПС_11_ОСТРЯКОВА_90	78036601	5	7,03
"ДЕЖУРНЫЙ_ЯХТКЛУБА""СЕВАСТОПОЛЬ"""	52081683	18	85,57
"Г.К.П._""ЛЕЧЕБНО-ПРОИЗВОДСТВЕННЫЕ_МАСТЕРС_КИЕ"""	82169190	17	35,35
ИНФОРМАЦИОННЫЙ_ЦЕНТР	33177274	61	8,94
EWSD_5-Й_ЭТАЖ	25289507	37	27,03
"ООО_БИВЦ_""ЮГ"""	9123133	97	82,53
ДПП	17801155	58	44,6
НАЧ_ОПП	50902048	101	33,19
ЖИЛИЩ-КОММУН_ХОЗ-ВА_ОТД	45936616	9	43,49
РАДИОТЕЛЕВИЗИОННЫЙ_ПЕРЕДАЮЩИЙ_ЦЕНТР_КРЫМА_(РТПЦ)	26686281	60	57,86
КАКАДУ	86210995	45	80,78
ВНУТРЕННЯЯ_СВЯЗЬ_85	10516927	8	78,8
"ОАО_""СПЕЦМОНТАЖ"""	56950639	3	21,23
"ЧП_""БОНЕВИЛ"""	40500568	56	80,23
"ООО_""ГОРСПРАВКА"""	95566327	6	85,94
СБУ_В/Ч_А-1189	96268243	26	77,45
"РЕСТОРАН""УКРАИНА""_ДИРЕКТОР"	75845281	118	24,85
"ООО_""МЕТА-ЮГ"""	21294892	111	48,38
ПРЕД_РАЙСОВЕТА	43921745	84	40,57
МАШИННЫЙ_ЗАЛ_К.52	20019248	48	39,66
ТЕХНИЧЕСКОЙ_ИНФОРМАЦИИ_ОТДЕЛ	25456819	38	68,46
ГОС._ИНСПЕКЦИЯ_ПО_КОНТРОЛЮ_ЗА_ЦЕНАМИ_В_Г.СЕВАСТОПОЛЕ	17963251	22	89,07
ДЕТСКИЙ_ДОМ_1	87449893	71	54,61
ТЕХНИК_СЛУЖЕБНЫЙ	92706537	99	99,16
ПОМЕЩЕНИЕ_КАБИНЕТА_ТБ_И_ГО	11473028	128	99,84
"ЧМП_""ЛАСКОВЫЙ_КРЫМ"""	42881120	26	20,08
ГЛ_МАРКШЕЙДЕР	73885756	7	41,53
ТЕХНИК_ПО_РАБ._С_ЖАЛОБ._К.25	7863528	18	31,87
ДЕЗОТДЕЛ_ДИСПЕТЧЕРСКАЯ	17081628	41	39,99
ОБЩЕЖИТИЕ_МОРСКОГО_ГИДОФИЗИЧЕСКОГО_ИНСТИТИУТА_АН_УКРАИНЫ_1	72879651	272	79,27
ЗАВ_СКЛАДОМ_(МАКСИМОВА_ДАЧА)	79372369	20	68,14
"ООО_""АКАР"""	17457616	47	24,83
Ц/БУХГАЛТЕРИЯ_6_ГОРОНО	27156264	20	77,6
КООПЕРАТИВ_АРХИТЕКТУРНОЕ_АТЕЛЬЕ	14325198	29	64,15
ЗАМ_НАЧАЛЬНИКА_ПО_БЛАГОУСТР	80181558	31	82,38
САНЭПИДЕМСТАНЦИЯ_ГАГАРИНСКОГО_РАЙОНА	95146980	111	87,67
ОТДЕЛ_ТРУДА_И_ЗАРПЛАТЫ_ЧФ_В/Ч_26878	31421373	60	73,66
ДИРЕКТОР_И_МЕЛКИЙ_ОПТ	45118125	16	89,8
"АП_ТК_""МИРМЕКС"""	12214041	194	72,65
УПРАВЛЕНИЕ_СЛУЖБЫ_БЕЗОПАСНОСТИ_УКРАИНЫ_В_Г.СЕВАСТОПОЛЕ	81314923	1	57,73
ИЗ_К.10-ПРОИЗВ.КОРПУС_4_ЭТАЖ	62033621	93	23,24
УПРАВЛЕНИЕ_ПО_ДЕЛАМ_ЗАЩИТЫ_ПРАВ_ПОТРЕБИТЕЛЯ	85449878	21	53,51
Г.К.П._МАГ-Н_N6	29407347	2	93,39
ОТДЕЛЕНИЕ_СВЯЗИ_20_(10_КМ_)	4552192	6	82,92
ЭКОНОМИКИ_ОТД_ГЛ_СПЕЦИАЛИСТ	52884279	9	39,67
СО_ЭКО	17482335	16	22,19
КАФЕДРА_ВОЕН-МОРСК_ЗАМ_НАЧАЛЬН	22424956	49	35,07
ОРДИНАТОРСКАЯ	54549720	52	84,26
РЕГИСТРАТУРА_ДЕЖУРНЫЙ	45115454	18	39,21
АТЕЛЬЕ_7_ГАРНИЗОННОГО_КОМБИНАТА_БЫТ_ОБСЛУЖИВАНИЯ	75697289	54	70,94
СУД,_ВНУТРИ	85860621	37	59,51
СТАРШИЙ_КАССИР	76228734	27	81,1
"ЗАО_НПП_""ИНСТРУМЕНТ"""	50625973	570	84,64
КОМНАТА_ВРАЧЕЙ	30580600	145	91,52
НАЧАЛЬНИК_ШТАБА_ГО	95939703	76	76,61
СПРАВОЧНАЯ	56251256	14	58,54
НАЧ-К_ОМПС	4915781	25	8,44
НАЧАЛЬНИК_ОТДЕЛА_ИНФ.ТЕХНОЛОГ.	43997388	4	64,5
МЕХАНИКО-СУДОВАЯ_СЛУЖБА_НАЧ	93734993	41	16,74
К.262	46337500	51	49,48
"ГПКП_""ОРХИДЕЯ"""	55119736	108	18,09
НАЧАЛЬНИК_КАБ.25Б	216418	11	3,16
АДМИНИСТРАЦИЯ_ГОРОДСКАЯ_ГОСУДАРСТВЕННАЯ_ОТДЕЛЫ	22573510	29	42,55
"ОФИС_ООО_ТЕЛЕРАДИОКОМПАНИИ_""ДЭВКОМ"""	69249393	56	53,83
БУХГАЛТЕРИЯ_КАБ.207	1998467	13	55,03
"КАНАЛИЗАЦИОННО-НАСОСНАЯ_СТАНЦИЯ-3_ГКП_""СЕВГОРВОДОКАНАЛ"""	39638870	13	43,57
ГОРКОМ_ПРОФСОЮЗА_РАБОТНИКОВ_КУЛЬТУРЫ	79485449	348	63,75
БАННО-ПРАЧЕЧНЫЙ_КОМБИНАТ	11597838	60	56,86
2_ОТД_УЧЕТ_ПРИЗЫВН_ПРОЛЕТАРС	95725837	28	45,85
"ООО_МОНТАЖНО-НАЛАДОЧНОЕ_ПРЕДПРИЯТИЕ_""ВАЭС"""	88889490	33	62,65
ТЕХНИКУМ	90494048	284	45,5
ИНСПЕКТОР_АДМ_ПРАКТИКА	79443885	41	94,58
"ТЕПЛОПУНКТ_25_ГКП_""СЕВТЕПЛОЭНЕРГО"""	66615090	59	11,39
ОТДЕЛЕНИЕ_СВЯЗИ_БЕЛОКАМЕНСК-2	38153006	15	59,43
"ПОЛНОЕ_ОБ-ВО_""ВИАЛЕТ_И_КОВАЛЕВСКАЯ"""	37612988	65	11,42
ХРАМ-Т/Б_ИМ.МОКРОУСОВА	7946845	14	49,15
ЦЕНТРАЛЬНАЯ_АППАРАТНАЯ	8838809	24	82,73
КОМПЬЮТЕРИЗАЦИИ_ОТД	2763934	92	86,93
"ООО_""ИТАКС"""	46959493	13	48,89
АВТОЗАЛ_АТС-57	47522849	50	97,35
ПРИЕМНЫЙ_ПОКОЙ	51799318	136	32,7
КОНСТРУКТОРСКОЕ_БЮРО	54602250	27	26,26
РАССЧЕТНО-ССУДНЫХ_ОПЕРАЦИЙ_ОТД	52279309	29	71,19
"ООО_""ГЛАСС"""	40378044	34	33,5
ЧП_ВОСКРЕШЕНИЕ	8937806	47	99,4
ЗАМ_НАЧ-КА_ПО_СЛУЖБЕ	65116386	17	26,93
ПАТРУЛЬНО-ПОСТОВАЯ_СЛУЖБА	53672062	18	29,76
ГАСТРО_ОТДЕЛЕНИЕ	53399363	126	27,95
ПЛАНОВЫЙ_ОТД_ВЕДУЩИЙ_ЭКОНОМИСТ	54464461	263	22,76
"СД_УГПЭС_""УКРТЕЛЕКОМ""_ОТДЕЛ_ТРУДА_И_ЗАРАБОТНОЙ_ПЛАТЫ"	90704580	22	57,64
КАБ.64_(ПРИСТРОЙКА)	32242109	32	50,1
СПРАВОЧНОЕ_ПО_ВСЕМ_ВОПРОСАМ	6224219	20	42,7
ОТДЕЛЕНИЕ_СБЕРБАНКА_079_НАХИМОВСКОГО_РАЙОНА	1717929	162	19,38
НАЧАЛЬНИК_КУНЦЕВСКИЙ_В._Ф.	98155934	31	24,1
ЗАВУЧ_УЧИТЕЛЬСКАЯ	84008130	68	88,6
НАЧ_УЧАСТКА_КЭРК	50432745	25	28,03
"ООО_ТОРГОВО-ПРОИЗВОДСТВЕННЫЙ_КОМПЛЕКС_""ПОЛЕТ"""	46354622	57	91,08
СКЛАД_УБ_МТС	60937468	272	97,75
СЕВАСТ.ФИЛИАЛ_ХАРЬКОВСКОГО_ГОС.ПЕД.УНИВЕРСИТЕТА_ИМ.СКОВОРОДЫ	93003366	10	71,03
ОТД_КАПИТАЛЬНОГО_СТРОИТЕЛЬСТА	29231206	36	67,19
ВНЕВЕДОМСТВЕННАЯ_ОХРАНА	42383604	99	29,75
ОСТ._АВТОБУСА	19050631	41	16,67
СЕВ.ГОР.УПРАВЛЕНИЕ_ПЕНСИННОГО_ФОНДА_УКРАИНЫ	32190131	29	64,03
СТОМАТОЛОГИЧЕСКАЯ_ПОЛИКЛИНИКА_1_ОТДЕЛЕНИЕ_3	40746604	77	83,04
"ООО_""ПИНО"""	99371129	2	24,96
АВТОМАТИЧЕСКАЯ_ГАЗОЗАПРАВОЧНАЯ_СТАНЦИЯ	13640265	14	61,26
65_СТОМАТОЛОГИЧЕСКАЯ_ПОЛИКЛИНИКА_ЧФ	70499866	27	5,75
ВРАЧИ	71457872	38	11,4
ГОРБОЛЬНИЦА_7	72186533	77	18,16
ВИЦЕПРЕЗИДЕНТ	43698055	78	22,11
ОБЩЕЖИТИЕ_УНР-544	88827756	2	70,46
КЛАСС_ГО	42319801	20	26,33
РАИВОЕНКОМАТ_ЛЕНИНСКОГО_Р-НА	5084919	38	64,73
"ДП_ПО_РЕМОНТУ_ЭЛЕКТРОМЕХ.ОБОРУДОВАНИЯ_""СЕВМОРРЭМО""_ОАО_""СЕВМОРЗАВОД"""	67371395	60	24,32
"КГО_""ЧЕРНОЕ_МОРЕ"""	55537624	41	4,11
НАЧ_ОТДЕЛА_ЗЕМЛЕУСТРОЙСТВА	47218010	26	28,31
ОТДЕЛ_МЕТАЛЛОВ	21823100	56	82,09
НАЧ_БУБЛИЧНОГО_ЦЕХ_КУЛАКОВА_17	56501202	29	19,82
"ГОСТИНИЦА_ООО_""ЮГСЕВМОРСЕРВИС"""	25725862	12	57,26
ПСК	44275658	25	4,5
"О.О.О._ИК_""БРЕГА_ТАВРИДЫ"""	97438704	18	47,34
СТРОЙКА_4_МИКРОРАЙОН_ОКТ_РЕВ	22576992	23	22,51
ИНСПЕКТОР_ПО_ОХР_ВОДНЫХ_РЕСУРС	19210611	14	87,94
СД_УГПЭС_ОТДЕЛ_СТРОИТЕЛЬСТВА	6848452	52	60,94
ТЕХНИКИ_БЕЗОПАСНОСТИ_ОТД	99548425	40	88,98
КОМ_309	27187193	24	87,35
СТОРОЖ	54118446	110	41,77
ЗАВ_ОТДЕЛОМ_ЦЕХА_ТЕРАПИИ	70199392	32	4,4
"ДЕТСКИЙ_САД_80_(5-ОЕ_ОТД_""ЗОЛОТАЯ_БАЛКА"")"	84039944	424	3,31
ЗАМ_ПО_ЭКОНОМИКЕ	62126586	13	26,31
СТРЕЛКОВЫЙ_СТЕНД	26269133	59	68,96
ГЛАВНЫЕ_ИНЖЕНЕРЫ_ПРОЕКТОВ	41415068	165	22,18
РАДИОСТАНЦИЯ_МАСТЕРСКАЯ	7105091	49	23,61
ОБЩЕПИТ_ИНЖЕНЕР	52299193	68	13
"ГОСУД._КОММУНАЛЬНОЕ_ПРЕД-ТИЕ_""ШКОЛЬНОЕ"""	71571400	316	9,26
"МАГАЗИН_12_ОАО_""СЕВПЛОДООВОЩ""_(МЕЛКООПТОВЫЙ)"	41903593	4	48,11
"ООО_""ЭКВАТОР"""	83618512	65	9,01
ЛАБОРАТОРИЯ_ПО_ОХРАНЕ_ТРУДА	5699507	78	51,06
ОТДЕЛ_РЕГИСТРАЦИИ	82884626	399	46,18
ТРУДА_И_ЗАРПЛАТЫ_ОТД_ОБЩИЙ	78745883	1	19,21
2-ОЕ_ОТД_УПРАВЛЯЮЩИЙ	96260261	111	98,68
"ЦЕХ_6_ОАО_СЕВАСТОПОЛЬСКОГО_ПРЕДПРИЯТИЯ_""ЭРА"""	60723355	8	56,98
ЮРИДИЧЕСКИЙ_ОТД	98985453	42	77,66
МАТЕРИАЛЬНО-ТЕХН_СНАБЖЕНИЯ_ОТД	57546774	57	85,12
НАЧАЛЬНИК_ФИНАНСОВОГО_ОТДЕЛА	62463855	21	15,87
ХУДОЖЕСТВЕННЫЙ_МУЗЕЙ_ИМ_М.П.КРОШИЦКОГО	63051357	17	53,66
АНТЕННАЯ_СЛУЖБА	22714244	11	98,26
НЕЙРОХИРУРГ-НЕВРОЛОГ_ОТД_ЗАВ	36259108	8	33,72
"ЗАУПО_""НАВЫК""_ОАО_""СЕВМОРЗАВОД"""	60240909	105	46,36
ЗАВ_ОРГАНИЗОВАН_ДЕТСТВОМ	9936210	24	39,04
"ОАО_КРЫМСКИЙ_ЭЛЕКТРОТЕХНИЧЕСКИЙ_ЗАВОД_""САТУРН"""	88103146	43	16,38
МЕДИКО-СОЦИАЛЬНАЯ_ЭКСПЕРТН_КОМ	37824547	90	37,4
В/Ч_99764_КОМЕНДАТУРЫ_ЧФ_115	56245687	2	74,92
СВЯЗИСТЫ	77245617	4	41,7
КОМ.38	35553713	56	13,08
"ДП_""КОМЕРЧЕСКИЙ_ЦЕНТР_""СЕВМОРСНАБ""_ОАО_""СЕВМОРЗАВОД"""	18409107	33	17,28
ХОЗ_ОТДЕЛ	22402573	69	28,48
ГОРОДСКАЯ_СЛУЖБА_УКРАИНСКОЙ_ГОСУД_ИНВЕСТИЦИОННОЙ_ЭКСПЕРТИЗЫ	56147211	1	27,21
"О.О.О._ПСФ_""СЕВСТРОЙ"""	84017516	12	3,84
ТОРГОВО-ЗАКУПОЧНАЯ_БАЗА	38542441	154	91,43
ОТД_УГОЛ_РОЗЫСКА	44984329	9	15,49
ПРОИЗВОД-ТЕХН_СЛУЖБА_СТ_ИНЖЕН	98551916	78	80,09
ПРОГРАММИРОВ_И_ДИСПЕТЧ_ОТД_НАЧ	23396923	5	71,82
"ООО_""ЭЛЬВА"""	62137196	119	87,88
НАЧ.АБОНУЧАСТКА_ВН/СВ.97	75855563	102	25,23
ГОРСОВЕТ_СПОРТИВНОГО_ОБ-ВА_ПРОФСОЮЗОВ	32877842	20	0,7
СД_УГПЭС_СЛУЖБА_ОХРАНЫ_ТРУДА	33545511	10	19,13
"БУХГАЛТЕРИЯ_СТРОИТЕЛЬНОГО_УЧАСТКА_АГРОФИРМА_""ЗОЛОТАЯ_БАЛКА"""	26176627	9	41,95
ГАСФОРТ_НАЧ_ГРУППЫ	9301734	25	42,34
"ГОСТИНИЦА_""СЕВАСТОПОЛЬ"""	87965669	5	4,55
ХОЗ.ГРУППА_КАБ.32	1239900	106	82,64
АУДИТОРИЯ_49	39499920	14	84,16
ОТДЕЛ_ЗАПЧАСТЕЙ	33896492	35	21,92
